Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的概念</span></div><h1>计算机系统的组成</h1><div class=""q"">计算机系统包括硬件（子）系统和软件（子）系统。硬件系统是计算机系统赖以工作的实体。软件系统保证计算机系统按用户指定的要求协调工作。这两部分构成了计算机系统的资源。因此，计算机系统的资源包括两大类：硬件资源和软件资源。 <span class=""blank"">______</span>（CPU）、内存、<span class=""blank"">______</span>（磁盘、磁带等） 以及各种类型的<span class=""blank"">______</span>（键盘、鼠标、显示器、打印机等）组成了计算机硬件系统；各种程序和数据则组成了计算机的软件系统，</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的概念</span></div><h1>计算机系统的组成</h1><div class=""a"">计算机系统包括硬件（子）系统和软件（子）系统。硬件系统是计算机系统赖以工作的实体。软件系统保证计算机系统按用户指定的要求协调工作。这两部分构成了计算机系统的资源。因此，计算机系统的资源包括两大类：硬件资源和软件资源。 <span class=""hit"">中央处理器</span>（CPU）、内存、<span class=""hit"">外存储器</span>（磁盘、磁带等） 以及各种类型的<span class=""hit"">输入输出设备</span>（键盘、鼠标、显示器、打印机等）组成了计算机硬件系统；各种程序和数据则组成了计算机的软件系统，</div><div class=""ansbox"">挖空答案：<b>中央处理器；外存储器；输入输出设备</b></div><div class=""pg"">教材页码：P26</div>"	操作系统概论 识记 操作系统的概念 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的概念</span></div><h1>操作系统的定义</h1><div class=""q""><span class=""blank"">______</span>是计算机系统中的一个<span class=""blank"">______</span>，它是这样一些程序模块的集合——它们能有效地组织和管理计算机系统中的硬件及<span class=""blank"">______</span>，合理地组织计算机工作流程，控制程序的执行，并向用户提供各种服务功能，使得用户能够灵活、方便、有效地使用计算机，并使整个计算机系统高效运行。从表现形式看，操作系统是一个大型软件程序，其中大量是实现各项功能的程序模块；从设计和结构角度看，这些程序通常是模块化的，有些带内核，有些本身是层次化的，还有些是客户机/服务器结构的。总之，操作系统这样一个大型软件程序，是大量具有各种功能的程序模块的集合。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的概念</span></div><h1>操作系统的定义</h1><div class=""a""><span class=""hit"">操作系统</span>是计算机系统中的一个<span class=""hit"">系统软件</span>，它是这样一些程序模块的集合——它们能有效地组织和管理计算机系统中的硬件及<span class=""hit"">软件资源</span>，合理地组织计算机工作流程，控制程序的执行，并向用户提供各种服务功能，使得用户能够灵活、方便、有效地使用计算机，并使整个计算机系统高效运行。从表现形式看，<span class=""hit"">操作系统</span>是一个大型软件程序，其中大量是实现各项功能的程序模块；从设计和结构角度看，这些程序通常是模块化的，有些带内核，有些本身是层次化的，还有些是客户机/服务器结构的。总之，<span class=""hit"">操作系统</span>这样一个大型软件程序，是大量具有各种功能的程序模块的集合。</div><div class=""ansbox"">挖空答案：<b>操作系统；系统软件；软件资源</b></div><div class=""pg"">教材页码：P27</div>"	操作系统概论 识记 操作系统的概念 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的概念</span></div><h1>操作系统在计算机系统中的地位和作用</h1><div class=""q"">地位：<span class=""blank"">______</span>是计算机系统中最基本的、最接近系统硬件的<span class=""blank"">______</span>，位于计算机硬件和应用软件之间，是用户和计算机硬件之间的接口；在计算机系统中，集中了资源管理功能和控制程序执行功能的一种软件称为操作系统。作用：①组织和管理计算机系统中的硬件及<span class=""blank"">______</span>（通过各种表格或数据结构登记资源名称、类型、数量、用途、完好状态及使用状态并动态更新）；②合理地组织计算机工作流程，控制程序的执行，“合理”指公平对待不同用户程序，保证系统不发生死锁和饥饿；③向用户提供各种服务功能——一方面向程序开发设计人员提供高效的程序设计接口，另一方面向使用计算机的用户提供接口，使用户能够灵活、方便、有效地使用计算机；④可以实现对硬件机器的扩展，将裸机改造成功能更强、使用更方便的虚拟机，使整个计算机系统高效运行。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的概念</span></div><h1>操作系统在计算机系统中的地位和作用</h1><div class=""a"">地位：<span class=""hit"">操作系统</span>是计算机系统中最基本的、最接近系统硬件的<span class=""hit"">系统软件</span>，位于计算机硬件和应用软件之间，是用户和计算机硬件之间的接口；在计算机系统中，集中了资源管理功能和控制程序执行功能的一种软件称为<span class=""hit"">操作系统</span>。作用：①组织和管理计算机系统中的硬件及<span class=""hit"">软件资源</span>（通过各种表格或数据结构登记资源名称、类型、数量、用途、完好状态及使用状态并动态更新）；②合理地组织计算机工作流程，控制程序的执行，“合理”指公平对待不同用户程序，保证系统不发生死锁和饥饿；③向用户提供各种服务功能——一方面向程序开发设计人员提供高效的程序设计接口，另一方面向使用计算机的用户提供接口，使用户能够灵活、方便、有效地使用计算机；④可以实现对硬件机器的扩展，将裸机改造成功能更强、使用更方便的虚拟机，使整个计算机系统高效运行。</div><div class=""ansbox"">挖空答案：<b>操作系统；系统软件；软件资源</b></div><div class=""pg"">教材页码：P34</div>"	操作系统概论 识记 操作系统的概念 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统的概念</span></div><h1>并发性、共享性、虚拟性和异步性是操作系统的特征</h1><div class=""q"">操作系统作为一种<span class=""blank"">______</span>，具有与其他软件不同的四大特征：（1）并发性：指在计算机系统中同时存在若干正在运行的程序，从宏观上看这些程序在同时向前推进。体现在两方面：用户程序与用户程序之间并发执行；用户程序与操作系统程序之间并发执行。并发与并行不同——并行性是指两个或多个事件在同一时刻发生（微观、物理上同时发生），并发性是指两个或多个事件在同一给定的时间间隔内发生（较宏观的概念）；并行的若干事件一定是并发的，反之不真。单处理器系统中多个程序并发执行不具有并行性。（2）共享性：指操作系统程序与多个用户程序共用系统中的各种资源，这种共享是在操作系统控制下实现的，主要共享<span class=""blank"">______</span>、内存储器、<span class=""blank"">______</span>、外部设备。共享有两种形式：互斥共享（如打印机、磁带机、扫描仪等临界资源，一段时间内只能由某一个用户程序使用，用完后由操作系统按策略再选一个程序占有）和同时共享（一段时间内可被多个程序同时访问，宏观同时、微观交替，如可重入的操作系统代码和硬盘）。（3）虚拟性：是一种管理技术，把物理上的一个实体变成逻辑上的多个对应物，或把物理上的多个实体变成逻辑上的一个对应物的技术，目的是为用户提供易于使用、方便高效的操作环境。具体表现为虚拟内存（作业所占内存比实际内存大时，先调入部分作业，处理完再调入后续部分，程序认为内存足够大）和虚拟外设（多个外设工作时间差在可接受范围内，近似同时工作）。（4）异步性：操作系统在随机环境下运行，不能对所运行程序的行为及硬件设备情况做事先假定。多道程序环境下允许多个程序并发执行，但由于资源有限，进程的执行不是一贯到底，而是走走停停，以不可预知的速度向前推进，即进程的执行顺序和执行时间不确定。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统的概念</span></div><h1>并发性、共享性、虚拟性和异步性是操作系统的特征</h1><div class=""a"">操作系统作为一种<span class=""hit"">系统软件</span>，具有与其他软件不同的四大特征：（1）并发性：指在计算机系统中同时存在若干正在运行的程序，从宏观上看这些程序在同时向前推进。体现在两方面：用户程序与用户程序之间并发执行；用户程序与操作系统程序之间并发执行。并发与并行不同——并行性是指两个或多个事件在同一时刻发生（微观、物理上同时发生），并发性是指两个或多个事件在同一给定的时间间隔内发生（较宏观的概念）；并行的若干事件一定是并发的，反之不真。单处理器系统中多个程序并发执行不具有并行性。（2）共享性：指操作系统程序与多个用户程序共用系统中的各种资源，这种共享是在操作系统控制下实现的，主要共享<span class=""hit"">中央处理器</span>、内存储器、<span class=""hit"">外存储器</span>、外部设备。共享有两种形式：互斥共享（如打印机、磁带机、扫描仪等临界资源，一段时间内只能由某一个用户程序使用，用完后由操作系统按策略再选一个程序占有）和同时共享（一段时间内可被多个程序同时访问，宏观同时、微观交替，如可重入的操作系统代码和硬盘）。（3）虚拟性：是一种管理技术，把物理上的一个实体变成逻辑上的多个对应物，或把物理上的多个实体变成逻辑上的一个对应物的技术，目的是为用户提供易于使用、方便高效的操作环境。具体表现为虚拟内存（作业所占内存比实际内存大时，先调入部分作业，处理完再调入后续部分，程序认为内存足够大）和虚拟外设（多个外设工作时间差在可接受范围内，近似同时工作）。（4）异步性：操作系统在随机环境下运行，不能对所运行程序的行为及硬件设备情况做事先假定。多道程序环境下允许多个程序并发执行，但由于资源有限，进程的执行不是一贯到底，而是走走停停，以不可预知的速度向前推进，即进程的执行顺序和执行时间不确定。</div><div class=""ansbox"">挖空答案：<b>系统软件；中央处理器；外存储器</b></div><div class=""pg"">教材页码：P27</div>"	操作系统概论 领会 操作系统的概念 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>多道批处理操作系统</h1><div class=""q"">进入第三代计算机时代以后，硬件有了很大发展，通道使得输入输出操作与CPU操作并行处理成为可能，软件系统也随之变化，实现了在硬件提供并行处理之上的多道程序设计。所谓多道是指它允许多个程序同时存在于内存之中，由<span class=""blank"">______</span>以切换方式为之服务，使得多个程序可以同时执行。计算机资源不再“串行”地被一个个用户独占，而是可以同时为几个用户共享，从而极大地提高了系统在单位时间内处理作业的能力。这时管理程序已迅速发展成为一个重要的软件分支——操作系统。<span class=""blank"">______</span>系统的关键技术是多道程序运行和<span class=""blank"">______</span>（假脱机）技术：多道程序设计的基本思想是在内存中同时保持多个作业，主机以交替方式同时处理多个作业，让多个作业交替地同时使用不同资源，大大提高各种外部设备的利用率。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>多道批处理操作系统</h1><div class=""a"">进入第三代计算机时代以后，硬件有了很大发展，通道使得输入输出操作与CPU操作并行处理成为可能，软件系统也随之变化，实现了在硬件提供并行处理之上的多道程序设计。所谓多道是指它允许多个程序同时存在于内存之中，由<span class=""hit"">中央处理器</span>以切换方式为之服务，使得多个程序可以同时执行。计算机资源不再“串行”地被一个个用户独占，而是可以同时为几个用户共享，从而极大地提高了系统在单位时间内处理作业的能力。这时管理程序已迅速发展成为一个重要的软件分支——操作系统。<span class=""hit"">多道批处理</span>系统的关键技术是多道程序运行和<span class=""hit"">SPOOLing</span>（假脱机）技术：多道程序设计的基本思想是在内存中同时保持多个作业，主机以交替方式同时处理多个作业，让多个作业交替地同时使用不同资源，大大提高各种外部设备的利用率。</div><div class=""ansbox"">挖空答案：<b>中央处理器；多道批处理；SPOOLing</b></div><div class=""pg"">教材页码：P36</div>"	操作系统概论 识记 操作系统的发展 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>分时与实时操作系统</h1><div class=""q"">分时系统：<span class=""blank"">______</span>不适合交互式作业，对交互式工作方式的需求导致了分时系统（Time Sharing System）的出现。所谓分时系统是指多个用户通过终端设备与计算机交互作用来运行自己的作业，并且共享一个计算机系统而互不干扰，就好像自己有一台计算机。由于调试程序的用户常常只发出简短的命令（如编译一个五页的源文件），而很少有长的费时命令，因此计算机能够为许多用户提供交互式快速服务，同时在CPU空闲时还能运行大的<span class=""blank"">______</span>。<span class=""blank"">______</span>：使计算机能在规定的时间内，及时响应外部事件的请求，同时完成对该事件的处理，并能够控制所有实时设备和实时任务协调一致地开展工作的操作系统。主要目标是在严格的时间范围内对外部请求做出反应，系统具有高度可靠性，分为硬实时系统和软实时系统两类。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>分时与实时操作系统</h1><div class=""a"">分时系统：<span class=""hit"">批处理系统</span>不适合交互式作业，对交互式工作方式的需求导致了分时系统（Time Sharing System）的出现。所谓分时系统是指多个用户通过终端设备与计算机交互作用来运行自己的作业，并且共享一个计算机系统而互不干扰，就好像自己有一台计算机。由于调试程序的用户常常只发出简短的命令（如编译一个五页的源文件），而很少有长的费时命令，因此计算机能够为许多用户提供交互式快速服务，同时在CPU空闲时还能运行大的<span class=""hit"">后台作业</span>。<span class=""hit"">实时操作系统</span>：使计算机能在规定的时间内，及时响应外部事件的请求，同时完成对该事件的处理，并能够控制所有实时设备和实时任务协调一致地开展工作的操作系统。主要目标是在严格的时间范围内对外部请求做出反应，系统具有高度可靠性，分为硬实时系统和软实时系统两类。</div><div class=""ansbox"">挖空答案：<b>批处理系统；后台作业；实时操作系统</b></div><div class=""pg"">教材页码：P36</div>"	操作系统概论 识记 操作系统的发展 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>通用操作系统</h1><div class=""q"">一般通用操作系统结合了<span class=""blank"">______</span>与<span class=""blank"">______</span>两种系统的特点。典型的通用操作系统是UNIX操作系统。在通用操作系统中，对于分时与批处理的处理原则是：分时优先，批处理在后。一般把系统的分时和批处理运行状态分别称为前台与后台：把处理终端用户的、交互式的、比较小的、需要及时处理的作业，即分时作业，称为前台作业；而把那些需要运行时间较长、要调用其他外部设备的、比较大的、无须终端用户干预的、且不需要立即处理的作业，即可以批量处理的作业，称为<span class=""blank"">______</span>。换句话说，在系统的“前台”响应需要频繁交互的作业（如大量终端的处理要求），而“后台”处理对时效性要求不强的作业。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>通用操作系统</h1><div class=""a"">一般通用操作系统结合了<span class=""hit"">分时操作系统</span>与<span class=""hit"">批处理操作系统</span>两种系统的特点。典型的通用操作系统是UNIX操作系统。在通用操作系统中，对于分时与批处理的处理原则是：分时优先，批处理在后。一般把系统的分时和批处理运行状态分别称为前台与后台：把处理终端用户的、交互式的、比较小的、需要及时处理的作业，即分时作业，称为前台作业；而把那些需要运行时间较长、要调用其他外部设备的、比较大的、无须终端用户干预的、且不需要立即处理的作业，即可以批量处理的作业，称为<span class=""hit"">后台作业</span>。换句话说，在系统的“前台”响应需要频繁交互的作业（如大量终端的处理要求），而“后台”处理对时效性要求不强的作业。</div><div class=""ansbox"">挖空答案：<b>分时操作系统；批处理操作系统；后台作业</b></div><div class=""pg"">教材页码：P41</div>"	操作系统概论 识记 操作系统的发展 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>个人计算机操作系统</h1><div class=""q"">20世纪70年代末期出现了面向个人计算机的<span class=""blank"">______</span>，例如微软公司的MS-DOS操作系统，MS-DOS属于<span class=""blank"">______</span>操作系统。1984年出现了具有交互式图形功能的苹果操作系统；1992年微软公司推出了有交互式图形功能的操作系统Windows 3.1；Windows 95在1995年8月正式登台亮相，从此Windows成为个人计算机平台的主流操作系统。1991年Linus在Internet上公布了Linux操作系统，Linux从一个人的产品逐渐演变成成功的操作系统。Linux遵从国际UNIX标准POSIX，继承了UNIX的全部优点，而且还开放全部源码，能在网上自由下载，极其健壮，世界上很多Linux主机连续不停机<span class=""blank"">______</span>一年以上而不曾崩溃。Linux是UNIX操作系统家族中具有自由版权的UNIX类操作系统中一个较突出的代表。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统的发展</span></div><h1>个人计算机操作系统</h1><div class=""a"">20世纪70年代末期出现了面向个人计算机的<span class=""hit"">操作系统</span>，例如微软公司的MS-DOS<span class=""hit"">操作系统</span>，MS-DOS属于<span class=""hit"">单用户单任务</span><span class=""hit"">操作系统</span>。1984年出现了具有交互式图形功能的苹果<span class=""hit"">操作系统</span>；1992年微软公司推出了有交互式图形功能的<span class=""hit"">操作系统</span>Windows 3.1；Windows 95在1995年8月正式登台亮相，从此Windows成为个人计算机平台的主流<span class=""hit"">操作系统</span>。1991年Linus在Internet上公布了Linux<span class=""hit"">操作系统</span>，Linux从一个人的产品逐渐演变成成功的<span class=""hit"">操作系统</span>。Linux遵从国际UNIX标准POSIX，继承了UNIX的全部优点，而且还开放全部源码，能在网上自由下载，极其健壮，世界上很多Linux主机连续不停机<span class=""hit"">运行</span>一年以上而不曾崩溃。Linux是UNIX<span class=""hit"">操作系统</span>家族中具有自由版权的UNIX类<span class=""hit"">操作系统</span>中一个较突出的代表。</div><div class=""ansbox"">挖空答案：<b>操作系统；单用户单任务；运行</b></div><div class=""pg"">教材页码：P37</div>"	操作系统概论 识记 操作系统的发展 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统分类</span></div><h1>批处理操作系统</h1><div class=""q"">批处理操作系统是一种早期的操作系统。（1）基本工作方式：用户将作业交给系统操作员，系统操作员收到作业后并不立即输入计算机，而是在收到一定数量的用户作业之后组成一批作业，再把这批作业输入计算机中；这批作业可在系统中形成一个连续的、自动转接的作业流；系统自动、依次执行每个作业，最后由操作员将执行完毕的作业结果交给用户。（2）特点与分类：特点是成批处理，用户不能干预自己作业的运行，提交后发现错误无法及时改正，需重新提交，延长了软件开发时间，更适用于成熟的程序。追求目标是系统资源利用率高、作业吞吐率高（单位时间内计算机系统处理作业的个数）。优点是作业流程自动化较高、资源利用率较高、作业吞吐量大；缺点是用户不能直接与计算机交互，不适合调试程序。依据系统复杂程度和出现时间先后，分为简单批处理系统（早期批处理系统/监控程序）和<span class=""blank"">______</span>系统。（3）关键技术：<span class=""blank"">______</span>（假脱机，Simultaneous Peripheral Operating On Line，同时的外部设备联机操作）技术——用磁盘设备作为主机的直接<span class=""blank"">______</span>，主机直接从磁盘上选取作业运行、结果也存磁盘，通道负责将用户作业从卡片机动态写入磁盘且与主机并行。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统分类</span></div><h1>批处理操作系统</h1><div class=""a"">批处理操作系统是一种早期的操作系统。（1）基本工作方式：用户将作业交给系统操作员，系统操作员收到作业后并不立即输入计算机，而是在收到一定数量的用户作业之后组成一批作业，再把这批作业输入计算机中；这批作业可在系统中形成一个连续的、自动转接的作业流；系统自动、依次执行每个作业，最后由操作员将执行完毕的作业结果交给用户。（2）特点与分类：特点是成批处理，用户不能干预自己作业的运行，提交后发现错误无法及时改正，需重新提交，延长了软件开发时间，更适用于成熟的程序。追求目标是系统资源利用率高、作业吞吐率高（单位时间内计算机系统处理作业的个数）。优点是作业流程自动化较高、资源利用率较高、作业吞吐量大；缺点是用户不能直接与计算机交互，不适合调试程序。依据系统复杂程度和出现时间先后，分为简单批处理系统（早期批处理系统/监控程序）和<span class=""hit"">多道批处理</span>系统。（3）关键技术：<span class=""hit"">SPOOLing</span>（假脱机，Simultaneous Peripheral Operating On Line，同时的外部设备联机操作）技术——用磁盘设备作为主机的直接<span class=""hit"">输入输出设备</span>，主机直接从磁盘上选取作业运行、结果也存磁盘，通道负责将用户作业从卡片机动态写入磁盘且与主机并行。</div><div class=""ansbox"">挖空答案：<b>多道批处理；SPOOLing；输入输出设备</b></div><div class=""pg"">教材页码：P38</div>"	操作系统概论 识记 操作系统分类 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统分类</span></div><h1>分时操作系统</h1><div class=""q"">分时操作系统出现在<span class=""blank"">______</span>之后，是为弥补批处理方式不能向用户提供交互式快速服务的不足而发展起来的。（1）基本工作方式：一台计算机主机连接若干个终端，每个终端可由一个用户使用；用户通过终端向系统交互式地提出命令请求，系统接受命令后采用<span class=""blank"">______</span>方式处理服务请求，并通过交互方式在终端上向用户显示结果；用户根据处理结果发出下一道交互命令。（2）设计思想：将CPU的时间划分成若干个小片段称为时间片，操作系统以时间片为单位轮流为每个终端用户服务。由于计算机处理速度远比人的反应速度快得多，时间片轮回速度比用户敲击键盘速度快，用户不会感到有别的用户存在，似乎系统被他独占。（3）特点：具有多路性（多个用户同时使用一台计算机，宏观多人同时用一个处理器，微观多人在不同时刻轮流使用）、交互性（用户根据系统响应结果提出下一个请求，直接干预操作每一步）、独占性（每个用户感觉不到计算机在为其他人服务，好像整个系统为他个人独占）和及时性（系统能对用户请求及时响应）。追求目标是及时响应用户输入的交互命令，衡量指标是<span class=""blank"">______</span>（用户从终端发出命令到系统给予回答所经历的时间），响应时间越短越好。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">识记</span><span class=""chip c3"">操作系统分类</span></div><h1>分时操作系统</h1><div class=""a"">分时操作系统出现在<span class=""hit"">批处理操作系统</span>之后，是为弥补批处理方式不能向用户提供交互式快速服务的不足而发展起来的。（1）基本工作方式：一台计算机主机连接若干个终端，每个终端可由一个用户使用；用户通过终端向系统交互式地提出命令请求，系统接受命令后采用<span class=""hit"">时间片轮转</span>方式处理服务请求，并通过交互方式在终端上向用户显示结果；用户根据处理结果发出下一道交互命令。（2）设计思想：将CPU的时间划分成若干个小片段称为时间片，操作系统以时间片为单位轮流为每个终端用户服务。由于计算机处理速度远比人的反应速度快得多，时间片轮回速度比用户敲击键盘速度快，用户不会感到有别的用户存在，似乎系统被他独占。（3）特点：具有多路性（多个用户同时使用一台计算机，宏观多人同时用一个处理器，微观多人在不同时刻轮流使用）、交互性（用户根据系统响应结果提出下一个请求，直接干预操作每一步）、独占性（每个用户感觉不到计算机在为其他人服务，好像整个系统为他个人独占）和及时性（系统能对用户请求及时响应）。追求目标是及时响应用户输入的交互命令，衡量指标是<span class=""hit"">响应时间</span>（用户从终端发出命令到系统给予回答所经历的时间），<span class=""hit"">响应时间</span>越短越好。</div><div class=""ansbox"">挖空答案：<b>批处理操作系统；时间片轮转；响应时间</b></div><div class=""pg"">教材页码：P41</div>"	操作系统概论 识记 操作系统分类 13180操作系统
